Number of Spheres: 1896
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.21402, variance 0.1
Mean coordination No. 10.7773
0.051865 0.779589 0.127684 0.0306529
0.786477 0.262534 0.54101 0.060169
0.378441 0.382782 0.070712 0.0376256
0.593938 0.718647 0.920339 0.028881
0.384341 0.945156 0.254974 0.0248785
0.758222 0.890776 0.057019 0.040147
0.999841 0.548597 0.0212119 0.083188
0.659783 0.841254 0.258114 0.0654834
0.415835 0.666525 0.390407 0.0525849
0.0264194 0.111922 0.847742 0.039674
0.31878 0.326411 0.540293 0.0315092
0.252682 0.296689 0.254669 0.0386987
0.483474 0.278023 0.336693 0.0339451
0.312515 0.180723 0.252916 0.0289338
0.151438 0.874828 0.0897261 0.0310137
0.152701 0.563796 0.502507 0.0390074
0.100286 0.311386 0.879481 0.0464507
0.271135 0.00920568 0.193371 0.0370391
0.908098 0.95727 0.536746 0.0223119
0.859545 0.46665 0.581479 0.0805229
0.076527 0.231432 0.871095 0.0373791
0.264035 0.228661 0.294603 0.040997
0.843457 0.8361 0.544993 0.0325661
0.412815 0.946331 0.587577 0.0279327
0.878375 0.355889 0.481605 0.0267791
0.946594 0.311012 0.974744 0.0326661
0.947605 0.550931 0.640879 0.0353333
0.343085 0.0435256 0.868761 0.0374589
0.166311 0.460909 0.534484 0.0444463
0.103623 0.0836423 0.225056 0.03196
0.676459 0.664934 0.900238 0.0716129
0.458335 0.086553 0.309138 0.0313377
0.736818 0.379516 0.171923 0.051969
0.872022 0.534179 0.163354 0.0452758
0.931837 0.858315 0.608931 0.0276757
0.798821 0.611557 0.593549 0.0272634
0.170491 0.710158 0.86306 0.0692185
0.899537 0.628654 0.949091 0.064025
0.683578 0.914613 0.518551 0.0440713
0.59966 0.782223 0.75405 0.0327934
0.906943 0.740382 0.321144 0.0490593
0.936971 0.316981 0.752178 0.0345918
0.0687998 0.756149 0.0614835 0.0404359
0.933386 0.893476 0.462098 0.040805
0.535064 0.588606 0.177755 0.0387173
0.286364 0.629251 0.23683 0.015917
0.725347 0.874918 0.110905 0.0249138
0.310144 0.0352835 0.656837 0.0233784
0.955641 0.119577 0.419929 0.0683606
0.177981 0.0268394 0.0494086 0.0534185
0.310534 0.239735 0.629011 0.0463661
0.0764343 0.718291 0.782975 0.038172
0.281902 0.0953466 0.621981 0.046001
0.978605 0.66228 0.297902 0.0408348
0.919966 0.731897 0.833311 0.0408941
0.00625005 0.480994 0.834724 0.0677248
0.735093 0.408107 0.333932 0.0486528
0.451139 0.486956 0.55488 0.0527498
0.200406 0.545933 0.95564 0.0464773
0.130971 0.886678 0.628853 0.0275564
0.398634 0.28566 0.335307 0.0250805
0.0398389 0.322007 0.945096 0.0335315
0.0502095 0.579737 0.765942 0.0603907
0.620648 0.898918 0.441397 0.0424102
0.351003 0.498656 0.879236 0.0289499
0.756671 0.365594 0.259963 0.0393497
0.869145 0.883358 0.00872702 0.0474228
0.550988 0.131449 0.568281 0.0562414
0.00230604 0.635247 0.501495 0.0506369
0.443483 0.390833 0.91736 0.0356127
0.140248 0.188488 0.986744 0.0376553
0.356848 0.705944 0.811928 0.0430153
0.542447 0.424266 0.0847509 0.029114
0.29865 0.170855 0.67169 0.0355307
0.595545 0.796221 0.185268 0.0232282
0.232712 0.626678 0.963124 0.022789
0.539371 0.369815 0.728725 0.0341882
0.16608 0.935203 0.117917 0.0372082
0.288582 0.515884 0.00792882 0.0603501
0.5961 0.757693 0.141176 0.0254382
0.749296 0.889062 0.393224 0.0953145
0.0123291 0.279954 0.617304 0.0358262
0.148904 0.489338 0.838536 0.045038
0.120644 0.0894118 0.967941 0.0642239
0.510207 0.574344 0.527718 0.0561697
0.613623 0.0866475 0.697253 0.0353059
0.251014 0.533934 0.273575 0.0304216
0.239875 0.552333 0.868744 0.0365102
0.289184 0.197058 0.0277238 0.0707264
0.0135747 0.270546 0.229824 0.0375919
0.291071 0.514023 0.119834 0.0478333
0.96844 0.485293 0.122876 0.0398037
0.465573 0.858254 0.811117 0.0306033
0.434766 0.0297647 0.0860781 0.0670616
0.598234 0.490453 0.0794753 0.0329036
0.114825 0.629261 0.864269 0.0289874
0.388457 0.676849 0.120553 0.0267495
0.118763 0.377762 0.977414 0.0683615
0.252149 0.671487 0.899242 0.0242966
0.428144 0.417859 0.356731 0.0307632
0.250991 0.109369 0.20236 0.0417633
0.797543 0.487194 0.375054 0.0489462
0.00785727 0.115542 0.493049 0.0215798
0.0115686 0.287799 0.887511 0.0391695
0.962537 0.234295 0.134342 0.0391978
